DAY,address,amount
2024-06-11,mtc1q9uspwz3xxgyj6637wzrr7xcvtedfq3gq5jxhv8x,610.77971166
2024-06-11,mtc1q98sv9x844a00vlqgh6tsgjquujf3pszzqmjxzd7,79752.17502386
2024-06-11,mtc1qx90zym40965j7y85gkecdks6pe80cc6j5wcgy48,4024.15221943
2024-06-11,mtc1q8qrze88vha3ypp3atw8ngt2hd7tlnhg6ut276rx,11518.03254630
2024-06-11,mtc1q9wf9x6gm08njp66yljjwrm4tvppzgkz4snhtyh0,258677.95468509
2024-06-11,mtc1q9gu6tmqhm0m8y6rgw954pwtjwsxxqpj3vvru00x,1091.08395711
2024-06-11,mtc1qxc68ltcgej24me7s9q6deunes4h4jc8rck9clc6,3832.88439842
2024-06-11,mtc1q9usvmwxp0gnt5gnn4tctxxwp7ajq30nfcuatjdp,23275.00469054
2024-06-11,mtc1qxr9fdku8zxasehpkxfyuwqnrd8j38fszs9c87fp,29404.72788669
2024-06-11,mtc1q80l94xeswucg4f63nncnqdj4tt8cvjayuc0h5qa,75129.19178279
2024-06-11,mtc1qy5v6ckpkcm9dle29hgy7svg9uawjzk99cltja0p,1156.22235253
2024-06-11,mtc1q92scwn9hqgju73hj9xeklr5v9x2kayg3c70nlvm,2410.40855094
2024-06-11,mtc1q832vzl4af4cnhwdepefpmeveyt8dyr6ygxscluf,3355.69286105
2024-06-11,mtc1q8c9vat2gw7astce8p7f0artul0aclup2s7ccrnr,3532.48439129
2024-06-11,mtc1qxhs5hsq42zv30dnr6y0zs9s0ltr6qpnng5jpesz,3953.17352847
2024-06-11,mtc1qxjddah0aqtazt32evlnpkmgtu825eqa7sq3uspm,12067.36089608
2024-06-11,mtc1q9ywltzpszu6fntsh5h5f6jchuc24vyqsqzgn42e,229.86494433
2024-06-11,mtc1qxq2nnczu0ea288wkx6mv0j893fjyhdcrg8jhkv7,2056.38559454
2024-06-11,mtc1q9h385kdte8hsvtn7rq23w6qqf42ljpkpshhcdnx,4378.70446112
2024-06-11,mtc1qyavu2860dw2unfxc2ll4h7fn6estr37lvfttwk6,12331.92332762
2024-06-11,mtc1q8xca6z3pttn4f3uau0werv6mwx0nqr0vc5zcr0e,740617.99286638
2024-06-11,mtc1qyd08v4f9ktv9s3qgkj8ptklg36zjmrdrctcddep,1703.38389342
2024-06-11,mtc1q9fuvu7wxfhed4erq40mdcx8k47rn2t3tq7w8eez,250.63300722
2024-06-11,mtc1qyle53vhpz3sfqlvms743gylxm4gaq4g3qtyu5n2,591.55626644
2024-06-11,mtc1qy86lu0va03j2lkaa5saqtjr5520xh6xysggm3tq,1447.04789184
2024-06-11,mtc1q809ep6hws22h6vcq43ft7wd9qpjr946hvf3xjnw,1985.39613568
2024-06-11,mtc1q9p894cljztd9fr9ukn05cxgmu4zvgk855sceuu8,3149.09047736
2024-06-11,mtc1qx00983ku608zuhua4ra2yqn4rgcvj82tcxalx90,38607.69333041
2024-06-11,mtc1q9vmure40mtgsqgmpl2jakdqjeam3tue55m0ygt9,129863.59037041
2024-06-11,mtc1q8w46mduuuuk5d82hmdckzf5nwydg4rp9uu0a5sp,221.73164721
2024-06-11,mtc1q9w43zm9hw5dmuu4pd537aeh40rzlgrj85x7fkg6,10985.81387615
2024-06-11,mtc1q8ly44mhaep8jule8n4a22gk4l9phffrfcxrv6kh,277997.56964930
2024-06-11,mtc1q9k0ss4u4jryqfyt2jtg7gfg75shj4jf5st8f6hy,178.53426497
2024-06-11,mtc1q86rthnh3whup83aqzh2z7d5yke55fxl0vm4ut5l,128.01037506
2024-06-11,mtc1qxhye02xkdayyumaerdax8a8z2fvy9w68uj506y0,1055.82487581
2024-06-11,mtc1qyk2lveelayjex928s8pdmcvvrv0udmgdgew7hk7,17207.39547786
2024-06-11,mtc1qyxqva7u4crds8uc5h2ed25nx60c7tzqs5jcfx04,43883.78593144
2024-06-11,mtc1qyeyrg6p39d2q6lsar6w2qwly4s9sr6fvqj2e2nz,602.52404686
2024-06-11,mtc1q95se0p82z5zstxalnuegq4xhxdtjpk9y5g3c44e,789.29466307
2024-06-11,mtc1qx49ryzzmlxma74qyxaf9zjx0x0fcmfl2gcj09aw,6801.94245813
2024-06-11,mtc1qykmfk24769dqn24rytrclxqavw5hvjx7snc2c8v,15947.10187423
2024-06-11,mtc1qxfzx848nq2gzfnhd0w5ngeyyrkclc5sdcmjz7q7,17264.09606630
2024-06-11,mtc1qyswhuzgl4t03a8td8z7v8jfs37r9avga5jqxr8d,18775.47371962
2024-06-11,mtc1qxlsttgfl9s3w6vj64a0zquhvpy04d462gdvewgq,989.23557247
2024-06-11,mtc1qy97x7az5dnec2nrne3fmlx9xk4j688wqq0stex4,1774.43744141
2024-06-11,mtc1qx4jqrt24astmnavlnd3g4j2rfmzyafteyue5teg,3610.03439965
2024-06-11,mtc1q9vstmxcup9gs96as3dnrc0g33ghunv20ufrje7k,229.96882371
2024-06-11,mtc1qyyufyf6dh9qz6vtlu2eu2whs0sk77fl45tre92d,2518.71985112
2024-06-11,mtc1q8gthp4c6j2qlqn8l6jhwk0yymvmaqcv85r7ffrq,4209.00388315
2024-06-11,mtc1q8vkwzmnkxruujexaphtlpu3zt40xsdzguq3phfk,5723.43211966
2024-06-11,mtc1q8lfqhmlh94ewv4tx9lys2ng2duw6nkxfccry785,105.00000000
2024-06-11,mtc1q8w0sk5np74jza9sxgphr99jrj9xzg35cvwjmdf3,299.96788136
2024-06-11,mtc1q9dsqlmgys4mg9jf665k5y2mmhafnpw9gct04rek,449.19507207
2024-06-11,mtc1qxnkg6tq79v47x48wssyd60e8astsc4yf5xh9hte,10195.68060185
