DAY,address,amount
2024-07-07,mtc1q99tanmj342qqlqzr4a42asnn87ug3642ufdqvsw,937.52635592
2024-07-07,mtc1q8mzk3swx5ek5cu4t0syc9w2dtgkfk4jju46c4r4,5376.82792315
2024-07-07,mtc1qy8c35rhtqkhqjdwddjf0l8zcafwt5xh2y8lcjv5,5422.39643739
2024-07-07,mtc1q8mctcq5xew0azwpvh3ndnqtn6lduyt7nyd37e84,922.66414631
2024-07-07,mtc1q99qu5t49jjz4heh072vdljztg0v0c0sfvhkrsux,1296.83554064
2024-07-07,mtc1q8hd55cg327w03vmv78xyzpp3zpyw5tlzgtsev0q,1389.86708815
2024-07-07,mtc1q9fk27qwdp84cljx6y4mhj2xxkpv56qfjycs0dqh,2051.78219494
2024-07-07,mtc1qyr8yey449ez047w44extj4tw3s84smtcqp33jcm,2448.02122567
2024-07-07,mtc1q8wd29ckd8zdumx53gjn6cr4hee2y076ssca8efp,174.66368046
2024-07-07,mtc1qy5mym2fwnqluq8jtut2z2u5w72u9ztv6cn2dvuc,261.07288789
2024-07-07,mtc1qy5gcwmst5dgy42lv8s0es2akwx2pzyzuglfnny8,298.96914305
2024-07-07,mtc1qxnrujn402ku7nw9jdxmwvew7x5s8fn6vggu2sel,6730.38496810
2024-07-07,mtc1qxjdcy7xq7f5v73rla6xy4j8ct3tu3akwswvcs5j,2875.87963347
2024-07-07,mtc1qxasdavpcnv04yvrh0j2hamc0758zsuzgca0cfua,34536.66958750
2024-07-07,mtc1qx3g98jukhwme3v66yr0ksck3zhvkngymgqjfayu,139.17923396
2024-07-07,mtc1qxztdcycv2m0jycuynqfy4htpc8rrnc2ksk9zu2e,351.66254545
2024-07-07,mtc1qyjfm20tmvqasldczamr2z7nheqq0272n5y6trh5,601.97351097
2024-07-07,mtc1q87xqxarv0vwu4t3530gx39w6arqfxzh3y2fvvd2,2427.81870359
2024-07-07,mtc1q9hwczdf8euk2dm7upd8wpws22lwhx2ct59vu2wm,7551.79202580
2024-07-07,mtc1qx600nxxmglqdsmmf4ne7nz86tl08us945kyqvvt,14920.00000000
2024-07-07,mtc1q8d992v6eg8vz2kl40mthhhc963ufrfl8sp4xl6g,2702.99522085
2024-07-07,mtc1q99qrddv7nkhgw5m2m0f8tvxt2gvyhl5syvd993f,18107.74243647
2024-07-07,mtc1qxzf7t5ega935k2yt5c009rxv536ah3zjsr6czrm,664.80787495
2024-07-07,mtc1q8q64up8mfl674k9vzv0ycz2pq4rxsjkdujgnpsv,1955.17030697
2024-07-07,mtc1q8p7sz3303tgzxtf64947wa9z2dkple6sudhecea,2783.14770113
2024-07-07,mtc1q96s2cnad5lp7djl2a60sd24waym8kz9cv3xn23c,246.60454002
2024-07-07,mtc1qxr5u0meam0s3w85x79x3ek3v8j3gev7vydehnq0,347.07747910
2024-07-07,mtc1q8m88w2gvwgx7l88pfmn3cfakthrugm6uv6rhwrd,561.71255206
2024-07-07,mtc1qxuelgzn0r36wd2rwmwz38v5n78jvqzpyyd9jgcg,5365.65981191
2024-07-07,mtc1q8cr8awtxzncvn6fcxpljy2vhumsvjmuqqmm0hs4,6726.75609290
2024-07-07,mtc1qx04h22aha3lahk3m6vynqelnfpvd6rkhv28gfff,160402.76137401
2024-07-07,mtc1qy8seuwxmwd58elxqtmnsrgvj620dequcyd2hymh,189231.64893072
2024-07-07,mtc1q90nmevyrujs85q2zgppn3n5vynsfw7mjgm46kvn,2475.91148166
2024-07-07,mtc1qxa5q9zsrpqstn3zx02yvqxf4jjfqfts9y8k9gc3,4044.75482406
2024-07-07,mtc1q9333g5ceyfqr88uk6tufwqxpgwqtvagtytr7q40,4194.05075451
2024-07-07,mtc1q8vkwzmnkxruujexaphtlpu3zt40xsdzguq3phfk,6127.08290947
2024-07-07,mtc1q8ce4gw3mt9wjyc8zaxv6xtzj42umftw9uv2e8za,22027.75817615
2024-07-07,mtc1qy9gmn8gh2ua7za3ye26jmzffyx2up972y3y52mu,260.18028214
2024-07-07,mtc1q8vtpt5gqy7t2s8m480n9zkkhcyr4fx6ku27w3k3,1018.36706876
2024-07-07,mtc1q84r4zk6xj8j2s54f9c4hgpe79crwuyu4cwqjh44,1346.18456658
2024-07-07,mtc1qxceayhhzn05zr0qw5ved0yx7wy6047z5ugqwa5g,79152.23890821
2024-07-07,mtc1qydgfdq0dqtfr0alq4lagay3esx55q7dqs679z9q,321.18268114
2024-07-07,mtc1qxtev6pdmrrrh93tzwyq75wtu67tzlpvwgs374f0,528.54841248
2024-07-07,mtc1qxxg69w9rn8u3j0x9q4eakx32sxjcfv7j58l98cm,654.22013861
2024-07-07,mtc1qxvctg7q75jsrp6uvq2v084eh5htatd73gaspq2k,1012.19093506
2024-07-07,mtc1qx2895xw0zsjqau8cytrsk4cyuycme5hwqusn6hw,1328.62377753
2024-07-07,mtc1q8zgl6z9spkk6yyd779epckff5ry6j3v4ynxjqk2,1487.92395773
2024-07-07,mtc1q9ju6hnzat0ux4pxj9g67ac2256hyw4q4ct7h09a,4247.94647267
2024-07-07,mtc1q9exmzjqct9v6h7tqmd7ad6xw73whzca8522y633,7841.31473829
2024-07-07,mtc1qyqnkc7chw0ldc62mnmxzlze66huuz5yh52kzyzw,8516.00363888
2024-07-07,mtc1qx3hgsktjn280q05zltxdejkxq8f5m4wycn7jwve,8969.00812387
2024-07-07,mtc1q964hu669drpnz6d3xj9f9hrlcfaefg5tue8vann,136.67432156
2024-07-07,mtc1qyf2pmpcxdlspxq7ptdwxc82ksmtcl5sq58dz0nf,816.62992757
2024-07-07,mtc1q8y3sr655u7hz2sxuqfyhs5adnpgfskse5l4ug8y,1233.54248416
2024-07-07,mtc1qyfq2qtgsu2u32f9vrls6ngyc9zshx5pfqfw78s3,3629.28882455
2024-07-07,mtc1q98v3fqytxmwe4pvxuxwsqvw338mak8zxynxvg0w,35398.16368885
2024-07-07,mtc1qxf0lxzrmhal4thsdk9nmnfnk5kx4j45vcgcaya2,57292.42994601
2024-07-07,mtc1qxzhnxjgdk88kth3ajmvw4ynwgtr08ecdy84d0mk,161.97804400
2024-07-07,mtc1qy97x7az5dnec2nrne3fmlx9xk4j688wqq0stex4,1895.15492257
2024-07-07,mtc1qyq5perag5y5qlz8rr6wxy4y3a2vjddn2gej6m9g,2327.62489410
2024-07-07,mtc1qxr0nfkyl8fpksk5cnnawqzt9yd7dvwu6cghf3t5,2983.00491679
2024-07-07,mtc1q82dlknj3w0jswdre7wa072yugsustsd6gkhc44s,6147.03975274
2024-07-07,mtc1q9s2hmjz05l67ylhy9c0v25fc27mxevvdyyp4uda,12280.79574787
2024-07-07,mtc1q94rwdkkturjx3dkdjngf8uylstcxkldk5lcktm5,37593.15057912
2024-07-07,mtc1qxr54ezv648wkfrjrmhe76ktztjjazmjwyf2xkus,559.61243917
2024-07-07,mtc1q9mzkw2gghr450p33xtrrx3hc9f68fa785pys2dj,777.94794827
2024-07-07,mtc1q8hhlyx4sv4c72jaand28vqp7sdqrt7yhgylwh78,966.14528873
2024-07-07,mtc1qxg9muv3dnjzuekfynkurp9y6yptauzrtu90u0u2,69662.19905533
2024-07-07,mtc1q8huq47v9qjyf8cu3vk8z63v30vc4lylmvmzpunc,401.09960771
2024-07-07,mtc1qy70ehz38djpd7zv3ypnelcx0qd730p50cz774kq,4128.39892595
2024-07-07,mtc1qx9r9ay30eg9epvrl3f47lqygd300ra25gvpuhdr,5000.00000000
