DAY,address,amount
2024-07-03,mtc1q9x8epcvqq2vh0q0zxh20g7lqgyyusv0y5fm9vv7,536.91474284
2024-07-03,mtc1q8ruh95yq0rqqcu2pjeln4dzce7tfn4jrguctuf5,3697.58597045
2024-07-03,mtc1qxz2zjrpgjamvtptajcp0jhpt9utvugwhsh533hh,50235.05208184
2024-07-03,mtc1q8w6k6jd2pen37an0ulsazg89ayyxmnpp5ddraa4,667.90176575
2024-07-03,mtc1qyr8qunfnj9wqfp2pyv4c3rqym5ucnxf6upxm9dd,1277.76928339
2024-07-03,mtc1qyxtcsanex39ek6qpw8a59zkjn89efjsyu39lg4d,5738.41453014
2024-07-03,mtc1q9a5wx6dl4gufcw38hqjx7suy2ue64w5gs6xdldj,25829.98388728
2024-07-03,mtc1qya9nuedwd522xfvym2krutt36gc5pvyzcjvxu20,74092.93361689
2024-07-03,mtc1q89l7g2zfhrvt650extdz7dfjjuqh83zngycpqf3,2492.30055349
2024-07-03,mtc1qxvqw06q0d3wqhsqx0f328l3gsmf93wywcpeq9yv,3574.79995238
2024-07-03,mtc1qyw5hrdmry2d2dlx86jg3xrkjea5rthwuvk9t0kw,4598.07950554
2024-07-03,mtc1qy0y4wae8f9zveewyn9waj7x34xhlasc0v9aanh0,11377.33624875
2024-07-03,mtc1qyeum5nqx3ur5srczgzplcvr8gdywkgk8cdv4wtq,2279.64961885
2024-07-03,mtc1qyzqwn26vkqvsxxtps7stl3x5zu6swmd3yjz8z8f,8872.63315153
2024-07-03,mtc1q93ux20smrm8gw68l9z6u9cr505xv48cwyvjsht6,8897.57777235
2024-07-03,mtc1qyp0tkd6vnw8qg3dte3hurnudnyhwc3jdcmwpm2w,4556.83131466
2024-07-03,mtc1qx3hgsktjn280q05zltxdejkxq8f5m4wycn7jwve,8936.68905999
2024-07-03,mtc1q9vyawmya2fgmxxppgmfrpp9zr23vfh6mvaprgpk,1110.76990933
2024-07-03,mtc1q82r2n5kzgjq206fjn4ppa9ux2r42aws0gnn4c0z,1166.55519450
2024-07-03,mtc1q82yaa38h4r662tdy6jd0wpv6cdnkekduvfp4ky2,1312.11564988
2024-07-03,mtc1qywe92ggwu53gyfshexdg00ang79lqpzksen4f40,7270.79211900
2024-07-03,mtc1qxsxzkndfypqmyznfnp5twuweq428u5nhv2406gf,21274.61858455
2024-07-03,mtc1q9prjawawgn3nxe8248z8le5j746wa50hc67ryqd,42442.18448851
2024-07-03,mtc1q9ghpmggk2qvjzmdjl64rx9yhtwuyr05zvx7glg6,5746.50177547
2024-07-03,mtc1q898rzztt9sa0pjtc4cnw9al9dx2w3xfcsv0umtr,7960.25102804
2024-07-03,mtc1qx9hcvqxnlgrslzk5x4k78rvz86w0te4msk6xg5t,117469.76702480
2024-07-03,mtc1qyylxqrpdx5ek8r4xh2yxq453pw2cut38ygrsaw2,523.12158208
2024-07-03,mtc1qx30yz5l0uygfwvvvashr7r05v8x7w85wswahuql,525.31412558
2024-07-03,mtc1qx92faldvm0qx9j0azpehy0f5wv4t3wcnyefe0j4,1244.98411402
2024-07-03,mtc1qyerlrpwfe45xw52cvrvpp3fjs5ypxsk4y6azal6,1393.11467705
2024-07-03,mtc1qy8vqgetn0vd4ytwdrkznmvmzx5sndz7quq30ra0,46925.27449966
2024-07-03,mtc1q98gn2thtss2pf9lak6myvey0e4dcn5wys0zdjah,77493.98612665
2024-07-03,mtc1q9nmt0qgek54qv4nqn4cph0s62av67rezgptehpn,2415.56691572
2024-07-03,mtc1q86k0knt343pku5l04eu3ewzv5vgtkevvvsdg5wv,3180.62257627
2024-07-03,mtc1qys24c6apw5a4g09m0gr9htkk7haf0h86s04x9ax,9016.70130701
2024-07-03,mtc1q8k4k38gwrzxt8jpzk3e358z0canp8q3t5qwl50m,592.24311307
2024-07-03,mtc1q8dnla06p3t9c029gnlss35y9ylxryhssuwy3wyg,5518.33803024
2024-07-03,mtc1q9nzjlyzxe79lv6v40mxfaa2t45lunynm55hn6pz,7642.87828331
2024-07-03,mtc1qx9jgdw28sfe9y9pxl45ltlzsjqlmatyeut9nku4,877.53437528
2024-07-03,mtc1qxsgnurf6gwv99suqymu8lqj60kcadlxjcwcetk3,2594.09637261
2024-07-03,mtc1q8f6g2um7rzeenkta6qhdha8a26razww7qltaypz,7549.50551708
2024-07-03,mtc1qycwge2rvu2c02sl02e0sgvy3l8ec7h5fga3rrm7,82591.43149697
2024-07-03,mtc1q9xdg6kk0uw54wqlhgdkw32vcjm07p7hacwq4fv3,174.88262998
2024-07-03,mtc1qyqcfv4dhuveajpreez3dnfmwj2uexcq0ydrlsu6,5444.63886415
2024-07-03,mtc1qx0zzej5apvm04u5cv5t7e3j0rgnjs3gwqph2czp,1100.89384293
2024-07-03,mtc1qyv2723u9wsztryqgqks5h4nyumgra0jayukxsmt,1752.26951914
2024-07-03,mtc1qy5fuuuj4sqweuvydvnx054hgg6s0a68fvjw7m86,4252.91339921
2024-07-03,mtc1qxckxgpqgy37lck4yv6jlfrm046em3evr59tqdpz,6371.06210191
2024-07-03,mtc1q942us5l6xj95c8rs7pp76usmr4jdyzpyc5e02m6,281953.67258419
2024-07-03,mtc1qy3lmer789eymtkg44apxsgjgq7l4h2f4y9e9tn0,350733.81900433
2024-07-03,mtc1q8ydvms5yl30vhg3v9rejpezutqnfv44egtcrq4k,1100.06184905
2024-07-03,mtc1qy76azyn7fl7y864qz76q89axtjeflvpyvhfn8gp,10059.88817706
2024-07-03,mtc1qxh7c08jnrtjty8efx674z7s34ccxq398u5mnpd4,18152.65869623
2024-07-03,mtc1q8jxspl7m8keg2njxncawkpkjyz8pj973utzds7c,44376.77555373
2024-07-03,mtc1qyjju9sdkc9453wcckglz8pnt5hc2r208vg7lqkn,50194.77734872
2024-07-03,mtc1qxjde0w5vwz044asrjjgwtx8j2gtspp6cy70hzm3,68447.38697817
2024-07-03,mtc1q83m5pjylx7kgl9fhyqvkg66g42sksfwsgu8thqz,652.23335707
2024-07-03,mtc1qx2grap8667quhp4uhu22dyw2g336ttqkyeewgwl,1168.85630095
2024-07-03,mtc1q8yvatlzclrsq5g5rscvmygjm0jafza2hsvscvul,3065.98375570
2024-07-03,mtc1q8st6arz9npaq3syesv9hpd9tvztnn3k8v8d33x8,4848.68284839
2024-07-03,mtc1qx046a9r73dkw26acxw4489wd5jylddz0caqvx4k,5431.46850296
2024-07-03,mtc1qxw4cjntfkep3urkmctdvtxqznx0vl0qfgc05w3d,63958.85569773
2024-07-03,mtc1qyyzz5lxp4sfc8hkqaw8p9d5rxgurqdnfycyhg8g,181973.10602268
2024-07-03,mtc1qx8eg2t7d2tyhnhl2ah8cwyr08lxj80dk5l55y2w,1390.03890610
2024-07-03,mtc1q82vsfmtfnmrd5nyqnw0dhq0rre5kqvasur8x2fg,3137.56119212
2024-07-03,mtc1q8nn32p03ruqhde6586j4s0mfmayu3q7avatavly,11249.12332040
2024-07-03,mtc1qxxcuk3ldtteds0j4thkke0nm7m7pnrsdga6r2lf,8943.33875537
2024-07-03,mtc1qyz4lzm79uzkg84vj6l9tx85xx3n5ulaxsrk2l3e,28375.35397670
2024-07-03,mtc1q86uaj6npnrqmkn7yx4wtkvdpqqfz66n0vu9eeek,173.46177037
2024-07-03,mtc1q9s44vwtyvhl50tmv34zwsap7fsj7kd7v5jeshzg,1532.93706914
2024-07-03,mtc1qyhrm6euv9278f00ux0awlm5kr8ndzhx3ucfwtg0,4267.47048437
2024-07-03,mtc1q9nlduuhm8gdzsysgns6crw2r2a3l6k62sd8sw5y,7392.64607595
2024-07-03,mtc1q9pxt6aczkq7x9zgxss5f3ztsmpzpt9y3gg3allg,131111.55374141
2024-07-03,mtc1q9x3d2wv0aht7ps482jyfxaupqum3spxm5q0sppd,2225.14006015
2024-07-03,mtc1qy026tfhwdfl4gqf0eknmlts2xpmtupngcs6vjdr,7449.90702311
2024-07-03,mtc1q86gjndapkrvtkkwstqaup7eup5m7mquxude2c85,644.82735979
2024-07-03,mtc1qyf2pmpcxdlspxq7ptdwxc82ksmtcl5sq58dz0nf,810.50420319
