DAY,address,amount
2024-06-24,mtc1qxvzezygfq5gfflk88vsehcrs7ek4l3j2shs992y,8564.31837920
2024-06-24,mtc1q8jf8udenepv3jd4hpkthr0ghaargc06y5czxwcc,4213.02892852
2024-06-24,mtc1q9pah4xaf35p8ms7hujh2z5kx2yn7vg2eq65dzuj,4676.64121382
2024-06-24,mtc1qxrwf0jk0xen59kndyuxjncthhxk4kn4cg0lnnjk,6209.68889026
2024-06-24,mtc1qxlyqvagsq3vvrdzrq8kstavl2m26wy3gusa570t,37958.80184977
2024-06-24,mtc1q9yhsdp73gh4eul05s5pjen77s2ezg85esd2r8yx,886.53831747
2024-06-24,mtc1q9ddvthllhnp0gm6dctu27qrej3j84wlp558vjqr,5610.31032372
2024-06-24,mtc1q8c8j2kdvt8mg3cd9up8500lnp2jxh53avf9vsep,48752.71451300
2024-06-24,mtc1qxs70nhpkzndegxese8qquttym33mlz7wqm8pwnv,1520.46802568
2024-06-24,mtc1qxq9ue94v6fzs2604lh2syy00gd2prk8y5h6yqh2,4796.98344385
2024-06-24,mtc1qxme6le9nelzctqux0uyxccyz96sae48ecdwrext,767.70018142
2024-06-24,mtc1qxnkg6tq79v47x48wssyd60e8astsc4yf5xh9hte,10594.46627706
2024-06-24,mtc1qygpkdvvcqs9pfzuseutq7ndjzzugrzn4swaf2mk,328.03741268
2024-06-24,mtc1q90n3vshw8am45v5le77a4y7ns395304mqjluqa9,1389.71486544
2024-06-24,mtc1qyf5kfjzxd965kf6ujlxhqralpw97qwgaym9ekyx,65279.71545561
2024-06-24,mtc1q8qc3a3gjqal4u5yrkketl4542sg7xyv5v5sqmef,7404.63764575
2024-06-24,mtc1q8g4sc7wznghqhw8e24lfsx4y430qv8z2y58xsac,21481.34828403
2024-06-24,mtc1q8lxks7ptkxnte5wh8gyv88qckenhmyatgjdyyxh,1645.48167217
2024-06-24,mtc1q8kpu8frmvadsqtgdt9d9z49vn6jvp9vr5sdg0xm,3880.00000000
2024-06-24,mtc1q8v8m0ysjvrncqfcc82fmlyvp47tejwh8s8378dz,699008.46474061
2024-06-24,mtc1q8lfqhmlh94ewv4tx9lys2ng2duw6nkxfccry785,105.00000000
2024-06-24,mtc1q93g2nlad52d0x6c2p3k67nc4fqwsue4c5vskt2u,1476.98561621
2024-06-24,mtc1q922drvcrtw7w7rkrslvmptcxphp7uxmtv8eevkq,2685.35760842
2024-06-24,mtc1qygzfcnzwczspqqjjmkejksmn9am5k44t53hwrfv,3423.83095073
2024-06-24,mtc1q83wlu3zhz4r3stlaj3pq0644az0ps5ktvlpc0ds,5686.88892315
2024-06-24,mtc1qxgr8ejrmd7xrc0gqltmx8plrxzlc7cmmv6l5ulv,508.89270594
2024-06-24,mtc1q8k6zwh8szhjk8ln5rvdu3rpeqs2we3hku9aer8z,856.82718929
2024-06-24,mtc1qyhcckalg6mh5yh2ujh5xn036wqt0u47v5h7a67a,3507.12007657
2024-06-24,mtc1qxpykc5dlttjexe9tghygytu5af8hddvfu96xxa6,3617.31732122
2024-06-24,mtc1q9gj6a8kyzefxs2sv2qpfhm3jny864sqfs2996qs,11383.84338619
2024-06-24,mtc1qykj28m9v28qz4zkfm6yrutkt0eagmfg4ga0jnmn,21980.21785153
2024-06-24,mtc1q89wlhdhnf4n0239egtm2qwrnvxzag4upy0nlhrl,202.79190459
2024-06-24,mtc1qyz4la7hvjk2l0dkcgz5mlp3mgntsvkskvt46yle,2227.38003239
2024-06-24,mtc1q87t9sklv9axvpxe5h9stv22v925pa0raslrn4xc,646.70309769
2024-06-24,mtc1q9fxkelclehxw06xumn0srqtuncyje890yml6tze,1108.32055258
2024-06-24,mtc1q99sxvpl7wmvqsx8qf7sdzlvg3v8gqje7v4slfut,12292.67937727
2024-06-24,mtc1qxdmarleq42qxlq70wzxjyhjw4slsuxstsnsauc4,13214.40719653
2024-06-24,mtc1qxuxfhgwrfunl9a8cwu6pgj82qldxaxevgprmevx,40182.84636778
2024-06-24,mtc1q97greqhgpqgadn0q5rcv9t6mzqynp0zpc3zdcgg,44719.42262638
2024-06-24,mtc1q93w8symf5pr662kdqus7zmf5rje4z9j35vm8n84,133542.85027688
2024-06-24,mtc1q905n0a960zezq0t9gyx3g7xsd90dege0samsk0d,365.38100015
2024-06-24,mtc1q885t8eqpt83t8t6yxyume92jmtx42clacsclpvj,891.43707037
2024-06-24,mtc1qxhdt34lm906fkw6ytzeua2qk2eldej9lge33xlx,769.04674890
2024-06-24,mtc1q8rw97tach7ratdl0hnq2z37u2gue4f3lgfh7ptg,1011.03506437
2024-06-24,mtc1q94f3j4pfukmdr7he9vspnxgnedc6ujxnqh7vjf3,1909.03970089
2024-06-24,mtc1qy8ufqd6qrnjr62ywue5pud9wwzh50d7eccjy3rj,5295.06477729
2024-06-24,mtc1q92p0ddsw8nhsjypxnqq4ml8mvd6vfu4kq94kcc9,10926.60826061
2024-06-24,mtc1qyy63cp6ms2y8j99tuxqqrp975wr9q0x9sq64gp3,102387.83139626
2024-06-24,mtc1q8mwrea54ch792efct3373cq8tu60xs50549klsm,135.93802405
2024-06-24,mtc1q87dxtkvk6c0j8t48uvw44m58z5gglpxlq8yg5gl,1723.33454092
2024-06-24,mtc1qxtmcc984qgs9aah8hvvha6ap0y3mgk7juv6fgm9,2013.32447845
2024-06-24,mtc1q88y6szuat0gh47yd5sj3auwlc7ljv0kgc4lcfj4,4267.38489071
2024-06-24,mtc1q8wg2vdefdmrssaeqapqp564987kyddhvuurrfp6,26936.17167093
2024-06-24,mtc1q8un7n7cpfal5twm2nf36vzkym9f9vua5grhthfc,72376.70384419
2024-06-24,mtc1q8ujxgfxa8rvvv9tx4d3xxjxcm0qfg4qscwkdjhf,1416.37277259
2024-06-24,mtc1q9wp7s57w3hzjdzzmavwjryuhesvlnhsmv4a9w9u,1786.84277055
2024-06-24,mtc1qx3e40xp4n5cwa2qeuae2x68evfczjj0tgg2rug9,5811.97529551
2024-06-24,mtc1qxwkurjwj8pferxtam4uejwq66xnj382nvtmhvmz,13105.81727104
2024-06-24,mtc1qxu9hle60tcqgaxllrkndn2r64805066eqlprdcy,340.55690475
2024-06-24,mtc1q8tc028r29fjas7cgw322a9mawc72eus5sgm7l60,536.79874821
2024-06-24,mtc1q87xqxarv0vwu4t3530gx39w6arqfxzh3y2fvvd2,2361.51212755
