DAY,address,amount
2024-06-14,mtc1qxamecnn7u80pw9kl39xjm28jxw2gd660u54ut90,685.75807215
2024-06-14,mtc1q8de2dv6zmja0955pvcm82qmejx76tc545vhj694,1238.67050399
2024-06-14,mtc1q80wc3zfhutqhx2q32j73ycuwccyth9racg28zne,2574.84999788
2024-06-14,mtc1q9fvvtlxnwwsnw6kvv8gc3pvgg0jryyww5p8v0nv,21549.42155785
2024-06-14,mtc1qy40dymtqfktcxrjthtmt9t2ms2h63m9cvkssevz,112.30755849
2024-06-14,mtc1qx9p0p8um5t9kaxl57c6u6e0n3q0f3rc8quuz06z,336.28439334
2024-06-14,mtc1q9jj5hxxq35z3mqxxutrr5w8fr9064kaxynwnwqv,495.55168471
2024-06-14,mtc1q9hs4rey57p3ed7fcjzvwa305m8fhur9y5r9hmuk,779.69582377
2024-06-14,mtc1qxu8lhyrme5u6hgm8sn8ajgllm9s4rw4kcy6ymmm,1674.58476796
2024-06-14,mtc1qx42j6j44lhu5vdla8k905qcq2kf2zjk6yukwm9t,399576.40530339
2024-06-14,mtc1qyt8sf8cvuvaw2m5dzgnqv6ary59n83uxurs86cj,254.22832140
2024-06-14,mtc1q8r87skv8eq08u0ujfpk6afesajnvhsap5gy66kh,270.25797488
2024-06-14,mtc1q97tpxl5u870k2cz4c06hhnk5kzf8rpnrcntt5u7,462.85923576
2024-06-14,mtc1qxeej9jz4pf5ecut2g30vxq9zcgenp2zlyml9tyc,1385.81881977
2024-06-14,mtc1qyavu2860dw2unfxc2ll4h7fn6estr37lvfttwk6,12408.52982601
2024-06-14,mtc1q9qp6re3ageeg930daygwtww8dltqv683ylwaa07,167.42389976
2024-06-14,mtc1qx65660f6qxdah0sjdjtcqm22zrdyfqdd5eftnpf,167.42389976
2024-06-14,mtc1q8pqqjc3gmn69lfxumq6c8qwl5g6u30twvpc3ppd,453.56507994
2024-06-14,mtc1q9wwh9m09wjnvrf4fvsvghq2qznk237xzsuf5u03,279.41969269
2024-06-14,mtc1qy380fgh6qpl7r4dz0uq4nrpeqxhxznlty5gvfxt,2631.72385217
2024-06-14,mtc1qx5fmafcc24fmt556ht7f26kn4cds2hadqecmqwx,1255.66348152
2024-06-14,mtc1q8ggxcp6lwf4r0mfa0qmrj5s3sxvhy5sxvz49847,2946.78120395
2024-06-14,mtc1q9nq5f5du55q4r3dc2z2kx0jad3j4t040shar0u2,6783.29519051
2024-06-14,mtc1qycac9e99rpjpxaxwvunrglwqv9t7pk55y42gx34,5000.00000000
2024-06-14,mtc1q9hhm44qqjv0cz2hazuycpt63qsew07m9g57c9te,12240.91201370
2024-06-14,mtc1qx9acsxv5frpu2yuq8g4f0hzqvvpq7z24uql6dr2,133.07433821
2024-06-14,mtc1q9ywltzpszu6fntsh5h5f6jchuc24vyqsqzgn42e,231.40561898
2024-06-14,mtc1qyd08v4f9ktv9s3qgkj8ptklg36zjmrdrctcddep,1708.39006097
2024-06-14,mtc1qx228cjewm70xr2fyhep2j3degl3kllg3uy8zg8g,5266.72997323
2024-06-14,mtc1q89rrtx0j4ufzzwweuaftkxhvf7snuwt4ckws8nl,8929.02747256
2024-06-14,mtc1q928fa2a7ynda3yw565me3mw5wadv0m6ts8kf9q9,9616.70558992
2024-06-14,mtc1q9kqk4kfls2lcrzpnfp4m8mxgsw7ejf94gez47qj,17184.90405621
2024-06-14,mtc1qyk2lveelayjex928s8pdmcvvrv0udmgdgew7hk7,17369.96613904
2024-06-14,mtc1qya68eq933r3gpggusd2xffcs8g405gz3gpkjlqx,1179.83067407
2024-06-14,mtc1qxr2ssqay4t3wxqcalh0mnzwa37cpdljzcn6lc00,2629.66210672
2024-06-14,mtc1qy74k3q2pjjgp4qtz7h3xlzpl7r3nj3rzyrkdrqa,4726.57603850
2024-06-14,mtc1q9wkg2redvfefl4gqnsexw85vp6mx39dnyxlztre,43106.74057028
