DAY,address,amount
2024-07-06,mtc1q8t77hqk6cjut9fy7z66eryahnne7scmrc4kwsmm,118.05373199
2024-07-06,mtc1q9fd85jxtntjg80yqnfrsc4uma2d47a8yqsqx236,704.97235476
2024-07-06,mtc1q9f6tzxazg96xgtyvs0hug0dlg62chccuua478eu,761.82305789
2024-07-06,mtc1qxch4alqnlx6s5tmmcxq6ue4ejt2p75nsgzpcnzg,1828.75219087
2024-07-06,mtc1q9k3ul2nfzuqv3336p59t7ck6ppk7pkj7yr7znr9,41059.00802600
2024-07-06,mtc1qyl330dz667umd2ttgt695h2un8fu8ku3c5g66my,5469.73511026
2024-07-06,mtc1q9nlduuhm8gdzsysgns6crw2r2a3l6k62sd8sw5y,7432.15781115
2024-07-06,mtc1q8c3alu8mkwtp6nzn2rkn2yfg7nnngk0pu8sx50j,10437.21028112
2024-07-06,mtc1q8mwrea54ch792efct3373cq8tu60xs50549klsm,139.31536885
2024-07-06,mtc1qxn35ym26vspssl3wgxtw20qtzsht6l9nglw5sp5,7682.64056443
2024-07-06,mtc1q9333g5ceyfqr88uk6tufwqxpgwqtvagtytr7q40,4188.31241885
2024-07-06,mtc1q9r597xrg52ea9rvnhp8ajrjvmq4fx6mfyq97zeu,10007.73628211
2024-07-06,mtc1qxc9lyjumeharwv4y2ur6rgwnwu6r7zg9urnaxs2,222.67535299
2024-07-06,mtc1qyrfa37fu3957w2f4dpt440h9gtw3syu5uys3nrp,226.93698484
2024-07-06,mtc1qxd5d8mu8zmngw884mcjghs0q8azz8u23q4h9gwz,1033.66651701
2024-07-06,mtc1qyvkuzywv2am2vy3xxsl6rhzc9ccg2x3mq89cmng,2067.14201111
2024-07-06,mtc1qxcx0ryf0jvv99lp9vwmjvrj53f657sgesmytuv4,2124.23492793
2024-07-06,mtc1q9ae5x73t53g4wpvn0pmd0t44vczyn9fesxrtamn,3682.49873887
2024-07-06,mtc1q8pzjm9ptxly8uph6plzw4kdphl6yv2sfgw2w3yt,14792.78217387
2024-07-06,mtc1qyvph6sejz03qkaejzuspvvj6u4nhwr2mytnfp2f,35767.62767606
2024-07-06,mtc1q809ep6hws22h6vcq43ft7wd9qpjr946hvf3xjnw,2096.85379789
2024-07-06,mtc1qx6q9gzqchc67ps8l4gezddzq648hqpewqyqer58,413088.49494222
2024-07-06,mtc1q87twu0ck8fhtzwtv3fnecwgdaznxg0thv7wvgqk,4322.45901156
2024-07-06,mtc1qywhq8pq8k668gdwqh9q2w48uljzhqkgjy40lmkq,4385.52246990
2024-07-06,mtc1qyq0nsl4xy4psdd2m7sem49tfrz84kga6smxsqxy,299.09676761
2024-07-06,mtc1q8u7fw4xva88jaeghf7s99r6ts3ndvk2fq66pzrf,323.15986806
2024-07-06,mtc1q94cludk3qa5x7fmdqqfz93kl2733j2h35qhfc0d,509.73683331
2024-07-06,mtc1q9v0tzragfltkta6axh3jh4pgv5u295yt55578hd,918.22821519
2024-07-06,mtc1q9jyr7hxhse0dd2z6d4q2fxsf920hj68qsl7h6n3,2032.46158752
2024-07-06,mtc1q8s333n6w4tfr5hjcuykwjdx5ykenfxsygug200j,4103.30057306
2024-07-06,mtc1qycpzespy73q4qlcpyp4z7hkflc356w2hqzhjq9q,4469.77618953
2024-07-06,mtc1qx2c9p9xne6xtptvxlrmx3rxmrllj6hsnv89097j,20801.25142468
2024-07-06,mtc1q88akt4y9tnrxnz5he3gwjl54pgxssvw8u37t3j2,201.20071835
2024-07-06,mtc1qy39p5uwrk5rtr3k5demn7sgz40qh55cyuqhq92w,812.24525152
2024-07-06,mtc1qxp86ef7wv3ysy392na3nuzdjtpqsaknpq9q0ges,1734.36907605
2024-07-06,mtc1qy9p843lyu26cnfwee8xa8vxyzw46zanfytvmszu,37397.62602571
2024-07-06,mtc1q9gqngatngw4ehpsehr2vlshypza9wyzgqcavkc7,692.35788440
2024-07-06,mtc1qxhye02xkdayyumaerdax8a8z2fvy9w68uj506y0,1121.85533550
2024-07-06,mtc1q8st6arz9npaq3syesv9hpd9tvztnn3k8v8d33x8,4885.80077928
2024-07-06,mtc1q84ug6lzhkqam708pp6pqh80fkpf5q69lgr9w259,5618.72532540
2024-07-06,mtc1qyz509x0jttwulmf0hsfydxkzgrknlhr6ydfy89l,13682.73922232
2024-07-06,mtc1q80muvywex3mpm9j7hw4e9qd6mktxal2ug4pkqze,772.68693543
2024-07-06,mtc1qyhx5m0jtzrmgrywhgv7k2rh2uarkfsr3sgdnkt4,1133.97266546
2024-07-06,mtc1qygzfcnzwczspqqjjmkejksmn9am5k44t53hwrfv,3511.49945149
2024-07-06,mtc1qyv86vwpzdfmyvkvl542ke3vz4fuqhu8nuzsnm5r,4103.30057306
2024-07-06,mtc1q9mxndd8mfalnfkx0tkue0ys2pgspgme9grwt0pf,9392.55645448
2024-07-06,mtc1q98kues62p2erg37pahhw6648c6zh6t9qyq0rpqh,10257.22560752
2024-07-06,mtc1qxvq4hr3s3spe4aaky0u8r4pwles3pjnhvhkyk6x,4416.55147745
2024-07-06,mtc1qxywkf2q2k954l2jqp9r9qaw96pjhd7a35x8rf2n,1243.11419680
2024-07-06,mtc1q86ftcc082nvunqk0u6fftmlxeumtlu65sglyfya,4278.64102352
2024-07-06,mtc1q9yyc5dtrw9mus400qrnjrtum9ut6gq5cyzfjcjz,14279.68691665
2024-07-06,mtc1qxutwsuhgx7gv4qj8zf5unpd0yqjv0tjcqr796zp,68542.23473935
2024-07-06,mtc1q9ygakjacypagsqrp60jn3q0tdkqu7yrvc9uzfjz,4594.58932566
2024-07-06,mtc1qyquzddzen703xn5qcm72v6vkpn3dzl7l50g664j,1371.65255438
2024-07-06,mtc1q9uequ9yenannz77pncfjqqhcu2ejjte0c2vn9fc,1865.09993183
2024-07-06,mtc1q90s8fgys9m53urf5hyn4flq5l9nztc33can4mha,3583.08224281
2024-07-06,mtc1q8qc3a3gjqal4u5yrkketl4542sg7xyv5v5sqmef,7619.55904550
2024-07-06,mtc1q9g0t6z6t6k4latfadx6qy70ycwdkl6upv4s5yv7,27762.81913255
2024-07-06,mtc1qx27g8l8snve63783vksqyfy2dk9fq2wsgagj37g,136.04680390
2024-07-06,mtc1qxjzjk8w7uvtyvlt65sq2yjnr6cw0nny9yajzu0q,6259.34277421
2024-07-06,mtc1qxqevlte7gjcczh92zpmv2fkkeyj9cfqcvhtxxs7,7087.26211906
2024-07-06,mtc1q8k8ts8fq09tpmumsqn4gnmhyw7t2kjuavgnhytd,10479.49499569
2024-07-06,mtc1qyhazfdd7sw8qvmxgl5y6gpf8xysra4xjv9qclsz,113.56825965
2024-07-06,mtc1qy93m33mw3zzjezv6fjmyczjsgwh595egsx08s3k,317.91319629
2024-07-06,mtc1qywl8u53nwpykx8mnr2aee99ar6t7vsjxu5jzt52,1238.21437491
2024-07-06,mtc1q9p0p67gjqw22hmwf68r3rjryrxz4rhj353z747m,1419.93442359
2024-07-06,mtc1q80ghs9pu47axvaufjlxjxe297acwdsrrcak39x2,2809.01814179
2024-07-06,mtc1q9c7s7dgrhul4sf0nw56y66agmljewfsvy55tuy5,5430.24494329
2024-07-06,mtc1qxcjtu5n3n0ndef5ksep382ysnfnxv730sp5urcc,11059.92822917
2024-07-06,mtc1qxt9ma6jl90yqqj6dmwff90c3z2xc934hv9zdjju,11308.89537313
2024-07-06,mtc1qyymwlt4lznzn6wk6d3pmkat6r75hnhsus6nknrw,18562.44374524
2024-07-06,mtc1qxetpw50zqj9qssv8gzp7kvgt5hpzw249qrmpsdc,231.57384559
2024-07-06,mtc1qya9nuedwd522xfvym2krutt36gc5pvyzcjvxu20,74690.70800136
2024-07-06,mtc1qxch39s8f76k2z2smnpfms26mruutpaktq45ha4d,32592.08076987
2024-07-06,mtc1q9qxkhhmflzsq95zwa2c78xgee4jcmnenq5qtk6a,98787.77515550
2024-07-06,mtc1q9xh3wwumsfr3gj23ug3unp0nzny9lylvs8m7alp,177.84803635
2024-07-06,mtc1qx9p0p8um5t9kaxl57c6u6e0n3q0f3rc8quuz06z,354.31974523
2024-07-06,mtc1qxn6r3exjngaaf9plu4pem6fzwy34y9fdvwy9n3g,616.85373537
2024-07-06,mtc1qxexslz33l6vy3jg4dpm28h60el9awmh553thmtr,3689.92751967
2024-07-06,mtc1q9t0lkdaqkwmuck32rmxy7mt984uxfw0dqk4ftcg,7620.78732363
2024-07-06,mtc1qyspgrh8wgjkn3k64zp5a94yqlh7ccfvtc7j74lm,10449.13891997
2024-07-06,mtc1q8lhhfcuh0q2ke395dar0vkk2zmfw6ej2ydk3t03,104279.96173184
2024-07-06,mtc1qxxg69w9rn8u3j0x9q4eakx32sxjcfv7j58l98cm,653.44842957
2024-07-06,mtc1q8tytpfgcj3gf4evxmg45p6gtvdqaay0tvaf2pq9,1514.95342345
2024-07-06,mtc1q8n857pxqdcaq9xk2xvwspu9xpaej5z40gg0a0fq,162601.78637799
2024-07-06,mtc1q87xlm8zstlj8d0qdlrv3kd4aw9nalv5qvq59sf8,194.78480013
2024-07-06,mtc1qxxcuk3ldtteds0j4thkke0nm7m7pnrsdga6r2lf,9011.17812845
2024-07-06,mtc1q8v4sa8q70vztsmxv7maan2dfznyhqrcrg8h503q,53736.00600977
2024-07-06,mtc1q96m2zc8hyfq5y2p2fpy2q35n2s6l8kpfqtm24z7,2541.10802417
2024-07-06,mtc1q8yvvnuthsv9a8vy5uhwr5m58jxsjz3a9usnyxt7,491610.09788672
2024-07-06,mtc1q92jwdrfhzlu6z9cjq5xv0lvyxs3jf0gfgyf47dk,5007.71906359
2024-07-06,mtc1qxarxek3myahs6jp5w7m8de3q56q0gcjavnt7sz7,15411.86567475
2024-07-06,mtc1q9h6vg4gljete99cxcvyzwhkqxxx8dkcws49z6h5,248981.79235976
2024-07-06,mtc1qxcpjjx4skfpwvnqqd07fqdh4fgme94wcq9rtkpx,3143.19110788
2024-07-06,mtc1q8ruh95yq0rqqcu2pjeln4dzce7tfn4jrguctuf5,3719.82624976
2024-07-06,mtc1qxlyqvagsq3vvrdzrq8kstavl2m26wy3gusa570t,38909.32652655
2024-07-06,mtc1qx3fpz57yjamg60qgsm8lkhufcgseu7seclkv748,4084.85484369
2024-07-06,mtc1qx4dp0ht9s9rfxdm00xjwxw3f7pku5nmlg9l3hmw,11177.48793767
2024-07-06,mtc1q86ysgvt7p379nsgrwnfwulpy4vm66hyzs7stnpg,117.60133167
2024-07-06,mtc1qywzjn6r6wfzz3wug2qy6s828allt99c5y0kz5c5,761.82305789
2024-07-06,mtc1q9hs4rey57p3ed7fcjzvwa305m8fhur9y5r9hmuk,820.12238007
2024-07-06,mtc1qygvzhuug8cfmmmcnqw6fwvjjxk552fd2ua7h4er,1052.02191913
2024-07-06,mtc1q8fsc3mdzqhh70m70u5ghlhvkgccpnx6rucrg6n2,1601.57105146
2024-07-06,mtc1q8cr4k2s7fxyexy645sa7n28guquk0pauspcywwn,1990.32986720
2024-07-06,mtc1q9jaesv5u9333h4tg2u8add6ppn5rtj4uvrps5lg,67484.83092563
2024-07-06,mtc1qx9xx0nryyc775cmk5f2awjdfnk5xqg7tuyqmv4f,1169.87642633
2024-07-06,mtc1q8wgmxg680lgzc2f490kt2f934yxas3k0yt8p0hz,5143.64070951
2024-07-06,mtc1q88lzg7arfw40a2cunp7ju47l0gv3qlgespx2sda,7736.76396384
2024-07-06,mtc1q8h7t4up37a2rtaqmqxmjr4t34gvmmth9qx7qn4a,8741.59538943
2024-07-06,mtc1q8j5u0e445ag5vtrlepgc9ludmg87mvdugn9eeyn,2072.69881245
2024-07-06,mtc1q82dlknj3w0jswdre7wa072yugsustsd6gkhc44s,6133.98112327
2024-07-06,mtc1q99yqzvj8gaksj9xh9gup77hjfeap9pp6vnetrh7,2735.07386323
2024-07-06,mtc1q938ldaxdll9svcvvdklpx6jcq6lsqq5j5s7l73p,8675.28856903
2024-07-06,mtc1qxrg253zx9mh34a6j4rtw8fgn45xsz2squ2jkh0p,115.16149220
2024-07-06,mtc1q9pz9mdpnstd7lxghx6z872pjqwhpn3xwuyll539,957.54068249
2024-07-06,mtc1q9jawp2cuwgjdn3yez7hcecf4qenn99wpgy6ja74,1129.23752506
2024-07-06,mtc1q9t78veza57t63h39739jnazxrzwa9s9zcrvv6vc,4446.43139368
2024-07-06,mtc1q984sqsn29ckl9agzud6s0pvxafx0k07dv9phvj4,6749.44219333
2024-07-06,mtc1q8n8xek6g8chzh2t4md9yv8mhvuhdyl89523anfj,9932.92610179
2024-07-06,mtc1qxehc0auej7qlnads6xkt575efs5wy7u3yr28nxg,1199.18131421
2024-07-06,mtc1q8ywve5ja8ddm8un543q4snmczppggke0sdpc3n5,1421.94024751
2024-07-06,mtc1q8tgqtucug5d5mk952kv7qnvg6gl8mf58vctgvrc,4174.99597308
2024-07-06,mtc1qyya36hd9uldl7kxwseax0lzkux6cm99g5xsqnkw,35838.96130783
2024-07-06,mtc1qyst9ff8ydqze9e5fassujader9cgkk0au095y2l,753047.48743351
2024-07-06,mtc1q97qyhcgutl0xcy8zjn3qrcgxs4qt87gjyymdglq,13810.02069047
2024-07-06,mtc1q9j2xkezyrdggvurvtnj5735s7h9ectgxqygsst6,14525.35521511
2024-07-06,mtc1q8cjk56ax75q8q2y4hnyvqnq9h6mqd9s8qvzvhv4,689.65588712
2024-07-06,mtc1q9r2zpqd7je5djzufkm0v43fxwhddx6c45dsy5yq,1333.17145990
2024-07-06,mtc1qxng5ev8w6nsy8vhjjapva34x5tpc4udvsge5z43,2555.86752063
2024-07-06,mtc1q8spxu2gtpqd3ds75nqv55ptgmdpd4dklu8g87hd,3583.47861491
2024-07-06,mtc1qxjshmkgzqj8skwhmg58sxvjx3ysxm5yac9gsama,5993.12918453
2024-07-06,mtc1q9r2ztk4d8xmu2vzte2ssnppay474tfuac90rel6,8949.74550875
2024-07-06,mtc1qyqxste84wnfhjcttdq5d4smrk4d4yyw2s024fel,19758.41956461
2024-07-06,mtc1qxezeumplzhjk5w5gud0egz09j8x69vctv4wrrja,23991.52113749
2024-07-06,mtc1q8u8h82t7457tq0k7z32t0rf5m7x5hla2se4c5vz,33994.32665715
2024-07-06,mtc1q8yu33e0azg55k5zjas27gk9xy0w8ypnuqjzyy22,34197.83211135
2024-07-06,mtc1q9232clpw7c580w2rj0zhd5ym7v9wt7zrunzx2sn,159.66498629
2024-07-06,mtc1q8u56424t5q8dd08yqcaspgdmsv8syc3pct0dvap,175.85417310
2024-07-06,mtc1q8fke96rvhqx64nrmgslvjgt0exew9k9zs0w04gr,419.81354242
2024-07-06,mtc1q8j5gcehnttnvx5hg5l73u7hssfkfe7a2sf0vrqu,814.84895445
2024-07-06,mtc1q9fs0jgl72v0lxhhphgs5wyjlrnuadk90vf35p85,2361.11872701
2024-07-06,mtc1q905gyj0hwfxlkqvcnlug6kmg0qd99devgrehc4n,5018.04404018
2024-07-06,mtc1q8uy8gnzw2gj9gaxluyym8dysj5t4q5rggu2xmxu,37130.28035787
2024-07-06,mtc1qy7er9pexc6qpu3q52uu02aw5djcxpw64ucsslln,982.46379922
2024-07-06,mtc1qyznxdn5nyl98hq9wf7u6m87ca49fmgmgvt3sj2a,3020.13779378
2024-07-06,mtc1qxgyq5vqxkvj5wvhx7t7y5wrxxr5hfvkdg4t7947,8649.26807561
2024-07-06,mtc1q92hlg4l0mp85kgmwdfhs9lnn0jfkjhsj5q0a07k,2416.68413630
2024-07-06,mtc1qyxs2sddh9dn0vmhjaa544tvrratepudhquufj0z,14651.76111842
2024-07-06,mtc1qycpcmwg6809jjqtsgq8ffzusgu5lnfgdq3tlmw7,130927.81545696
2024-07-06,mtc1q83samlxp4zugyxt2dngshm76t2afe6xtsv04nvm,1198.33486705
2024-07-06,mtc1qxl09rk3cl5e0476p2lyq8e3y4k369v3vq9spqsv,4140.71027844
2024-07-06,mtc1qxrl07xvs2w9khjejy7shurwwde7qmavugw94rrl,4966.32087638
2024-07-06,mtc1q9zwk4mshw8c9v8cgm3fehp9qdwedndupcwwycez,108.70820013
2024-07-06,mtc1qyeyrg6p39d2q6lsar6w2qwly4s9sr6fvqj2e2nz,642.06220400
2024-07-06,mtc1q97thm78kjespgnn9uwzglx8lmflu82g457rk73w,1389.46609555
2024-07-06,mtc1qxndeqshzgcwjw6yy7xpj7e489qtaal4hc4ga9cz,20789.33855002
2024-07-06,mtc1q9kv8xq5tzjwtr35hf6jfv5qrnkxr9hh9cr0q87s,864.48342091
2024-07-06,mtc1qxr2ssqay4t3wxqcalh0mnzwa37cpdljzcn6lc00,2779.19921122
2024-07-06,mtc1q8z8pjz7ved23zjs90fxmwwge240s7xzru9e6fra,4220.00000000
2024-07-06,mtc1q9we393y5takanl3pr0em4yhy0jkxntt5vtf4ly8,5904.51088944
2024-07-06,mtc1qylnjhy9z2fkgs7x7pvjj4fjsc4rezs3dskfk26z,7056.34190652
2024-07-06,mtc1q8n4g47pv5rmrr3n8fwe3yw570ykgxks25dwlva6,6731.04877414
2024-07-06,mtc1qx858yql30f9xdgudj6myv66trt4syldjuvjjdpe,11518.24595827
2024-07-06,mtc1qxvg9lq7y805s3m4ud2yr3y5yahumzmf5ckzm06u,445738.11227313
2024-07-06,mtc1qywqvegm6vx3vdz7fksedmmqqpqd35hcwqlsgdhf,3298.01313541
2024-07-06,mtc1q9s54m9r7pyr2n4kszpw6ydvt7ejgkclrutfau9a,5029.29370957
2024-07-06,mtc1q8ewr6zndyqxafuflkz4vpln5y38q33e9cfyrm0w,932.47900584
2024-07-06,mtc1qyjz6fflhs9zuywq9znape905vqfzr00sszj4u6x,5991.96936013
2024-07-06,mtc1q9c4t25d8vlxdxrzr4azm4xystym0afldvrk0ldl,12240.24883266
2024-07-06,mtc1q8dmc9vn8t7ugyjtt5tndvz5pzz8sdnepyjmk7d4,15043.95217913
2024-07-06,mtc1qyhc6zgrc0wcytqsnyxd08440gt4tmpmeuchwh49,117580.90873477
2024-07-06,mtc1q8h2nxdn5gdru9nump96scthshwe5fkynv9y83dh,5224.12285830
2024-07-06,mtc1q8gr29qyupca3hujeuvf58kmpf83uf6ndczt84p7,9706.94093255
2024-07-06,mtc1q8quk7t4qm586t2kpht0aqrchul80tm88u60mxyq,395.46757273
2024-07-06,mtc1q9fl8zkxwhhtc846jcwcg0fplvzzyeuvhqkmkp0p,573.77575918
