address,atomiq_tokens
mtc1q9vmure40mtgsqgmpl2jakdqjeam3tue55m0ygt9,26128.9170467803
mtc1q8pxlkhmtr6lqfvk2k9tv22s28mfepw39cwghl0d,26115.4897461968
mtc1q8nllkzxg03hm7ru07qchwqt8wtqe3e2kyl3yfkk,26080.4765428749
mtc1qytynutnf0d8x72kcdeaayehwuwduyf4rq0m3mnw,26041.7259289509
mtc1q93w8symf5pr662kdqus7zmf5rje4z9j35vm8n84,25706.9565435114
mtc1qyp455gfkkfvdum9tdtas2cpc8ggn9mjfqwkf4jk,25682.6136002948
mtc1qxx76dn53fmt0zrpm3j59g3kf8xmqjfyfqfylmpt,25677.8657853201
mtc1q83klwly2e9cgrlmway2vmhm5mak3nszayvum8u7,25596.9745408536
mtc1qypxejwjkv62g89d5s0lwyn6tfsgc0t70sv763mr,25396.5308407466
mtc1qxm90etmkll6vr3f0v8u6zvtt252ghcs4s7t9den,25240.6506170865
mtc1qyvezald95x5sqj38jmx0p8c6fngwxtmmydvc383,24693.5111734768
mtc1q9pxt6aczkq7x9zgxss5f3ztsmpzpt9y3gg3allg,24652.4719318883
mtc1q9xxkxjxekmeswcma7ywt9fp62y5azcecslcamzu,24451.9858375516
mtc1qyhg9gwyp00gs9wn8pnkfg0e5fxsyme2lgut6qsu,24365.4565021437
mtc1qycpcmwg6809jjqtsgq8ffzusgu5lnfgdq3tlmw7,24129.8827310882
mtc1qxt0n2t8d0jdzqcgatjcf4zf543gzva5ju22alrm,23912.6649665268
mtc1q8gkuy6h4vk9x23ugey549erc679ufgv2qzme5mu,22706.0216940677
mtc1q8rnz65gugz79m74u405utnsuk0f3jx7lqeeee5y,22663.4979134741
mtc1q9wktn9f7nr3mad7k3g9hdx42a85njktmc8p83ca,22567.8307934144
mtc1q8rxk8y0s5ea0vm9yrajeeuape8syj8fyq5agkf2,22134.7236896186
mtc1qx9hcvqxnlgrslzk5x4k78rvz86w0te4msk6xg5t,21857.5558481469
mtc1qyhc6zgrc0wcytqsnyxd08440gt4tmpmeuchwh49,21597.5305218984
mtc1q9h7k8kcnht860qhwzd3a84zxd384ncea56cdazr,21527.3542980551
mtc1qx2mlw7mycukgeuup8elcwrvc8jsnc0a85warf4g,21183.7139966429
mtc1q96r4jzk7q7gu8wzxnncur3thmxykq6kky0yxqdr,20814.0049211679
mtc1q8wnmgzl9mtndk0wjzeuk4m606kqnadnxcpavyuf,20688.2695620062
mtc1qxdequxzg57q0yxt5euc5gkzw276kgxzhgaxsk09,20605.3167380341
mtc1q845gw4zkuxuftkgeru7lwv65m49fqu24yg4jswe,20427.5704232521
mtc1qx8ekrpy9sjw8x9lxpsngzdes5cyt4yc3une8rgf,20298.2652068015
mtc1qx2y4hcavmyy6akurkpr8l6px0fxscmlngkxv897,20188.0890325696
mtc1qxhvstjazawhl8yu7usturmsml62lga3mszkjmg4,20135.8391585519
mtc1qxz924q0telknvmscz6qcsjsp0kg565fcgy75dtm,20129.4196268884
mtc1q89xkhrrx2jrrskwzgvhm23vugr749r7ectsmyma,20007.0080390339
mtc1q9xjlry4dhvsmjd5pljq87q0q6ughfwxss4p8xvh,19986.1974680247
mtc1qyy63cp6ms2y8j99tuxqqrp975wr9q0x9sq64gp3,19731.1699069691
mtc1qxpp7s0q58dtqpwddutpv2nxrfjk7wnlmgrqtd6e,19697.2656663246
mtc1qyf4c3nzjezjvhtue6246qce3fykwzjfpqnczx0t,19667.3345735376
mtc1qxx2dduey9qtx4wv796a4nfad2fntc0m05ua9m9u,19319.499843377
mtc1qxncttyzv7n85t2u0u8kafh9s8unls7vdcfwg6rd,19252.4748683895
mtc1qxvtnrg3l87g2swdl85a8qgung6dz46wxckh0aw8,19027.5655407141
mtc1qye07ufmzqgswgavleqdlqk3dr80ghe6mcqw7whz,18927.6190303208
