DAY,address,amount
2024-06-15,mtc1qxaeft206n3kq280s6atxt3y63fftv3ucslnc4xz,705.21130896
2024-06-15,mtc1q8ldes5de5ztsagp99cecz5gx35uepd4pv3ytnrn,964.07870962
2024-06-15,mtc1q86dn77k4g2c4zcz6sevfyrcca9l3r5r45nzlp7e,990.38611918
2024-06-15,mtc1qxkj6ddwsyc2tnqrmmck97xnh8z3mk36pgf9ul5m,5953.65068100
2024-06-15,mtc1qyczfsxwhfyy6qllq0uaxce8cw2r4l09tcplrtv0,7542.82292180
2024-06-15,mtc1qy898r43wetl53uatsa8t07d4k3pht3vrcf3w0j3,161880.83258564
2024-06-15,mtc1q85dhaw0q38wkkv32qcpx63r5ykr6mqc2spusrk0,843.49860195
2024-06-15,mtc1q8968n6u9fskaaymdksm3e3hztpcew60c537e9s5,976.00000000
2024-06-15,mtc1qyyc8yrqad3s0vngy0flw56x4zmjwagjugaaay2v,4168.87773138
2024-06-15,mtc1q9we393y5takanl3pr0em4yhy0jkxntt5vtf4ly8,5634.45060327
2024-06-15,mtc1qx3zmy3a4lct0040fw4zl5xkxy95m2e345ngyrlf,84949.49166966
2024-06-15,mtc1qxmmqfar2f896wtp7hm6aje9eluefamqrc7uef95,114.50929754
2024-06-15,mtc1q8vtpt5gqy7t2s8m480n9zkkhcyr4fx6ku27w3k3,969.46595628
2024-06-15,mtc1q92wgpdzakzc4snjcy3ucmyra9n6mnwc2cu0p3ty,1222.98355042
2024-06-15,mtc1q9tjxytcm7e9z89cfsg0se4gu8gw9xhqjsgwfdts,2078.82643490
2024-06-15,mtc1qyhw8lhrul8c4u0nlg65s39wd88d3daqvcp9knaf,2796.22102353
2024-06-15,mtc1qxfzx848nq2gzfnhd0w5ngeyyrkclc5sdcmjz7q7,17424.66985781
2024-06-15,mtc1qyt8sf8cvuvaw2m5dzgnqv6ary59n83uxurs86cj,255.42581374
2024-06-15,mtc1qy6gxkaz0j20t7l42tykf5j075xmfkg00c3se906,347.34324420
2024-06-15,mtc1qyl7f56pd4wrs8kucd34rstde4c5lzh2kqtg6j0q,1308.28461517
2024-06-15,mtc1qxpef44gg8q7rgmkjtd6eyqz48cxq62l9ua0gdpl,6817.22331954
2024-06-15,mtc1qyklu78e3el338httauy7a73hw052jll8qd4dgd9,10014.59275284
2024-06-15,mtc1qxkp6rt3hwc5vd6ams9a077jrhpn5z92kc4pmxr5,2019.78515366
2024-06-15,mtc1q8uv8zvxwx4ee8lj0vcruslg4y8vj6zx9gyk9npt,419.56502657
2024-06-15,mtc1qynzfujs36dtcwpesth8j3gzaazeup5085ezfaap,705.84508087
2024-06-15,mtc1qxvvjddcdl304r9jla4rcusj60m2wfs2q5jrz3kn,3520.25657780
2024-06-15,mtc1qx2t0u7f0yy7f332j0cvkse3qw2dumrts5fh8k7x,6507.53216725
2024-06-15,mtc1q9mxndd8mfalnfkx0tkue0ys2pgspgme9grwt0pf,8996.47447104
2024-06-15,mtc1q9gxh73nzex9symuzthx7q8lzs64dc34gg4ynhqy,28684.23859956
2024-06-15,mtc1qyg0hg5vycj8k3tnxqfp7nqw2hkt34f6pulg3u5n,256.70614596
2024-06-15,mtc1q8w0sk5np74jza9sxgphr99jrj9xzg35cvwjmdf3,304.21530745
2024-06-15,mtc1q8n094u3ht2zmzq8yhyz0px0ksxd7qr24qcw2zjj,40140.50318457
2024-06-15,mtc1qycpcmwg6809jjqtsgq8ffzusgu5lnfgdq3tlmw7,120985.56375390
2024-06-15,mtc1qypvfvvh5ym84jdr9q0qsyym4mdl237qkyrqqzhd,258073.33400511
2024-06-15,mtc1q8huq47v9qjyf8cu3vk8z63v30vc4lylmvmzpunc,382.37902372
2024-06-15,mtc1qxqm4md8xer9zv0465dsv6m8lwlk09udju90f9nk,1523.88705978
2024-06-15,mtc1q9ju6hnzat0ux4pxj9g67ac2256hyw4q4ct7h09a,4162.02782892
2024-06-15,mtc1q98hhkh8fgkt3latfkmxx93el33uj8yx9s7t5pry,4265.64329592
2024-06-15,mtc1qxt3s0pgmv7r6zykkqgsz7lljzjxlza2f5kt06w9,738.65582039
2024-06-15,mtc1qxme6le9nelzctqux0uyxccyz96sae48ecdwrext,749.89073618
2024-06-15,mtc1qxv8hwxtaugt7dv2y43pa988wtstadwu3ueryycv,1724.31181472
2024-06-15,mtc1q8rk89jv267n6r6j7zeul5jjplhgwprstq3l7kar,3926.27261045
2024-06-15,mtc1qymv7mhzx2032t7t6vfru3vq7rrq6aly9vf6ka4p,10721.29402153
2024-06-15,mtc1qy5rvudf0vvtvzxte0jd4jrnar7wtnsylg4y52px,926393.76180629
2024-06-15,mtc1qxrg253zx9mh34a6j4rtw8fgn45xsz2squ2jkh0p,108.45310020
2024-06-15,mtc1q9pk58xgh2s0x3cpxrdlzuuqnka98972eqkfsuax,2554.63765271
2024-06-15,mtc1q9pxt6aczkq7x9zgxss5f3ztsmpzpt9y3gg3allg,124316.49942368
2024-06-15,mtc1q93w8symf5pr662kdqus7zmf5rje4z9j35vm8n84,130448.88688674
2024-06-15,mtc1qya6s8smsj35lcs96vv9uf4hypts27flpyezf2wr,120.06394213
2024-06-15,mtc1q8tytpfgcj3gf4evxmg45p6gtvdqaay0tvaf2pq9,1439.33647729
2024-06-15,mtc1q9e52trjgedf5ad5wdpsrd5kp0u4sq489qgqqrjx,2600.26637706
2024-06-15,mtc1qywqvegm6vx3vdz7fksedmmqqpqd35hcwqlsgdhf,3132.47552702
2024-06-15,mtc1qys259lx8uc500y09qx7ke9l530w3xrqyqu9kpwd,5272.70374268
2024-06-15,mtc1q8qc3a3gjqal4u5yrkketl4542sg7xyv5v5sqmef,7280.74109675
2024-06-15,mtc1q8s2md3ugwu57sfseh4mghvsc9zs3xydpcyygxch,131.65220769
2024-06-15,mtc1q8de2dv6zmja0955pvcm82qmejx76tc545vhj694,1240.60629048
2024-06-15,mtc1qxf3wpn20fdxntnqldakdma5l3mwm06nmqzfzpmm,2041.90174226
2024-06-15,mtc1qxqgqnrxhvnnf5h5r7r3fam3ecgw9vs8qgm2a4h9,2129.03067337
2024-06-15,mtc1q838vtaru57xkslenmnrwh4y296lpwywr5eat5a9,2154.60861768
2024-06-15,mtc1q9s9ntpzy3z2zzgqcz2m5an2mzw89hwf7sxquzun,47929.80758364
2024-06-15,mtc1q9xjlry4dhvsmjd5pljq87q0q6ughfwxss4p8xvh,100777.41798273
2024-06-15,mtc1qytmphcetg3ecl9c000y8fursddd62js5s3w3k6t,514.28308052
2024-06-15,mtc1q8rxlftmr4jy7afhwcwh9kvfugduxylnyv83x5w6,2187.37486162
2024-06-15,mtc1qygqzx7se4kgqhv3smjzmfx3fjytnlzq3v75tz5n,4354.96316769
2024-06-15,mtc1q8uu005taxtj8xvysf4qhlutajy0f678q59r9xnv,5065.55449825
2024-06-15,mtc1qymf4nzapu76ljdx8e2rfs8yzj5rc8zfqu2xsjdr,23876.73251515
2024-06-15,mtc1qxlkc36mqa38awmddg3xtvwvmmmau687fcr349ee,190781.97649349
2024-06-15,mtc1qy5rhk0uhs4s9szw3s4tytyg9w8gf8c8esxhcej2,522.49767543
2024-06-15,mtc1q9xs9twnt8k6hzuck6tzhze3wrhnft52zsd27mrx,1705.20043055
2024-06-15,mtc1q9cx9qtehjnkr0uxuup9w3p0wf4wawyp65y0u442,3055.27134032
2024-06-15,mtc1qxtd7mkcwuh2hcdh22nv9ddvhsjem3cxny449cu8,23156.21627983
