DAY,address,amount
2024-06-17,mtc1q9lw5z5jggyjr6za2xl9qdy4td4unqf9uuhnxull,11560.06557080
2024-06-17,mtc1q98sv9x844a00vlqgh6tsgjquujf3pszzqmjxzd7,81605.26095688
2024-06-17,mtc1q9gguaz98drdv29enpe6t6hww4gy3vm7xgtzj0px,1482.06298895
2024-06-17,mtc1q9dgd9zqh0nualvykggadehl4g04ew47ls7u8l8r,2852.82882228
2024-06-17,mtc1qx30yz5l0uygfwvvvashr7r05v8x7w85wswahuql,502.17271077
2024-06-17,mtc1qxphccykgf5wrcghvcp29qfzy796e96esqye6jlp,563.66223325
2024-06-17,mtc1qygvtt4kgvh0zmxd645wdeuv08jgszxvgvecjl5l,772.15752938
2024-06-17,mtc1qys259lx8uc500y09qx7ke9l530w3xrqyqu9kpwd,5272.70374268
2024-06-17,mtc1q9kh6ewp42e7qngnykgf5hl5mw3msznm45n75e9z,7409.42074890
2024-06-17,mtc1qy9xj4n2tjfu6s4wty8rghgg3gru8zpfdy5uaynv,48505.95329322
2024-06-17,mtc1q9vv8njvdrrqf6r4kyvr59y7qgxkvye3q5c0lhxz,144.49049689
2024-06-17,mtc1q9kq5fk4dqyv50w8vs39vln473etpuqvtv3cqa8x,431.33138481
2024-06-17,mtc1q9f5x687jd9snjq3ptwhywdt6xy7csyk4cn08yux,159.13191662
2024-06-17,mtc1qygn4hjysehtnzn2yzl6k6t5mnf6mdk9zgzc0krg,8962.27489294
2024-06-17,mtc1q98j5tfpm25qr5s6xw5h86su4kdfeqvzdqqgrrqv,16351.82510103
2024-06-17,mtc1q90tk5s8j7y07fm2dfrgn0gh4tms9660vsvt2rhq,57292.63759810
2024-06-17,mtc1qyhjct3u6y5087q9trvavxywglrjh4c8k5yff8hf,404062.60308210
2024-06-17,mtc1q8dy4tekx2vhm3hasxqz74qkkj9z0zt5dg2na6we,180.01232134
2024-06-17,mtc1q8tljvj5nq6hp7ud476yjslc2cwtztv2uyrwyae0,1119.85372083
2024-06-17,mtc1qxjz7a9qen30ku9f6erz5szmw4lgll3c95axzdc2,2498.31254682
2024-06-17,mtc1qxes53f2udvvemqkawzej90kf794c4tj7qffwlps,4162.86351803
2024-06-17,mtc1q90a39vsh49weh7udpnqts5j22vswpq8xuc32k2z,5244.54283286
2024-06-17,mtc1qya4ntedcq75lcyccqwxudythymt04w8sqy0qn0q,464.54484065
2024-06-17,mtc1qxdcef43uc9ljrr3ywlut5hg9gjlmn9c7skwf05a,814.90421634
2024-06-17,mtc1qyn32lhcuhxfnc5u63j04lse5l8sqwkhgc3lt0l4,959.11185531
2024-06-17,mtc1q8ywve5ja8ddm8un543q4snmczppggke0sdpc3n5,1353.52904383
2024-06-17,mtc1qyakd9dnxjx8hgu6fxs8rj07sz8kgp84kgcxmn56,2165.19254562
