DAY,address,amount
2024-06-27,mtc1qydhk7av72xcccmggwwf9eex47fxwzrk9gjdn3sm,233.65073117
2024-06-27,mtc1q9nrkrpqsw5wvpdev8ht6tzsxt3hxsh08gwtu9gl,531.95719339
2024-06-27,mtc1qxs0sx3rlhjmez6vp3vqq8t3zxjewfq53qt0ncrj,1292.54677282
2024-06-27,mtc1q9uequ9yenannz77pncfjqqhcu2ejjte0c2vn9fc,1832.21729160
2024-06-27,mtc1qxc02sxlnwyr5cmartxnazazhuhqe9jf5qthq5g6,32108.22717598
2024-06-27,mtc1q840lfnv25sxkcw9av3px4vgzjtgc8zr4ufw0pn2,6972.54743301
2024-06-27,mtc1qxaudjgqprkztsn9arj455537tud2zpp0c7vhrm5,11026.55415306
2024-06-27,mtc1q9aga47tc5gjkla0j2p89l8056wvh0w47unhsqkg,27042.85492923
2024-06-27,mtc1q8gkuy6h4vk9x23ugey549erc679ufgv2qzme5mu,119047.11126704
2024-06-27,mtc1q8ye8f0ex3rtxpt0f5frmvecx066q5fjty4h23gm,508.60607061
2024-06-27,mtc1q99tumf362jmpr7kvzuhs00qxjj0gecq05vkrg5d,12566.91545642
2024-06-27,mtc1q8wnmgzl9mtndk0wjzeuk4m606kqnadnxcpavyuf,108271.15160298
2024-06-27,mtc1q9ca5l8s94kerc9en5wgkdx6aycar90hzcwdxckl,781.33912707
2024-06-27,mtc1q93w3x2xe04g2qcjp02kt4scvq3kqr5gavak0lr7,2149.89111588
2024-06-27,mtc1qy2jza65j5pecevtc88cxuu59lvkvra5hvzn2c98,13023.19250355
2024-06-27,mtc1q9awvex73am4e6msekd0gynfgamzzxs3mv6ak8de,23015.56753400
2024-06-27,mtc1qxg9muv3dnjzuekfynkurp9y6yptauzrtu90u0u2,67452.87665891
2024-06-27,mtc1qxnz4rq2gr9puy3lgcpflgruvymp8d7uegx3h55g,1000.28479794
2024-06-27,mtc1q80a6yaj49sxf8jv3pld6gt04x5agv4mecrgpt74,1867.00946157
2024-06-27,mtc1q9ja4tlpvvnjfa6jtcuemahrqxdg8q3wm5uuf23j,23172.64461163
2024-06-27,mtc1q8h7xxxh5k2qhrptxvk65ua7hqahzjy40sm7vlyh,1345.92678365
2024-06-27,mtc1qy9ycp0pcdwm2saevsvcyhpad2le9vj8rset4ksd,15477.94886046
2024-06-27,mtc1qxf0lxzrmhal4thsdk9nmnfnk5kx4j45vcgcaya2,56213.95424258
2024-06-27,mtc1qyvk5adq2rfm0eatmysavyn2ypmq90850g35gjq3,505.75522931
2024-06-27,mtc1q9xqvdyhwvalnclhpfmukxp66x6wnw5fqsjmdqrn,682.93626884
2024-06-27,mtc1q8zgl6z9spkk6yyd779epckff5ry6j3v4ynxjqk2,1444.24019746
2024-06-27,mtc1q88y6szuat0gh47yd5sj3auwlc7ljv0kgc4lcfj4,4297.98123148
2024-06-27,mtc1q967sahlq8cy4juaaml5l59hdmaqgnju8yk765uz,5015.98948102
2024-06-27,mtc1q8yu33e0azg55k5zjas27gk9xy0w8ypnuqjzyy22,33627.84987166
2024-06-27,mtc1q8d3p7vm9ksswxzedaqx09z3sftk3zelzcq3gh6j,42222.21700000
2024-06-27,mtc1q885t8eqpt83t8t6yxyume92jmtx42clacsclpvj,897.62244889
2024-06-27,mtc1q979gyzhu5fv5cngvtmq73ul937dkhyaeg3u0nv0,1010.72119416
2024-06-27,mtc1qy98a78tsstfq4mrecq9c2u5s7stwsnjwq4xe9hz,1401.12471860
2024-06-27,mtc1qxm0pxwzzh37cnjngcj3fs4q5x0spfkpvvkzllzh,2748.54172960
2024-06-27,mtc1q93ux20smrm8gw68l9z6u9cr505xv48cwyvjsht6,8822.65653770
2024-06-27,mtc1q99tpcg54vwqh4m8vvsz9psqwy9j89v2hg532srn,12722.97504923
2024-06-27,mtc1q9f34h7talkp4ctyee572znjsj3a98pr7svs0pfg,1648.32120136
2024-06-27,mtc1q9j2w6k2cu2e9mde2qkh8juxl7npdavlyqaz0z38,1747.22394585
2024-06-27,mtc1qxycmlwl9kd0qqg32ujp9md2ucdst84z7ypvdykv,3299.57732850
2024-06-27,mtc1qyuhm9s4a94xllvm4mqxu98fuweug6x77c02ez74,6942.71239497
2024-06-27,mtc1qyqde9nm0y9whq0z65zlzswx5xu42jkcgu2d3xz6,1180.20358705
2024-06-27,mtc1q9a48n355nlfxh4v46za6zj654y87qx485s8nv2e,4403.99438896
2024-06-27,mtc1qx7jz5uawpkjpsj6n2a8xm9tqaypdk5adqtrcgqx,8601.20827788
2024-06-27,mtc1qxlsttgfl9s3w6vj64a0zquhvpy04d462gdvewgq,1027.74916094
2024-06-27,mtc1qxvq4hr3s3spe4aaky0u8r4pwles3pjnhvhkyk6x,4325.90805725
2024-06-27,mtc1qxnppx4gq63d5kan43yuq0qspggdjtd5gszaj5ah,3609.12307221
2024-06-27,mtc1qxydrm6hkcgxe3mqwsja04mfh48ur6ykmss0ckpx,3882.23805665
2024-06-27,mtc1q9cpflfw7yj7cp8v3kxhefhe2qmhv4ta9vfnjjkk,6549.40792498
2024-06-27,mtc1q8c77fqdsqj4a94pxz6l9ew6mqss57z4xyxm7ua0,15767.73286911
2024-06-27,mtc1qxch39s8f76k2z2smnpfms26mruutpaktq45ha4d,31929.97337509
2024-06-27,mtc1q92a6jwtcamhw80zk6uz8mrrjfa5zjgxggyex6dv,1362.34308752
2024-06-27,mtc1qyl6204u9xcuzxunfwpmpq32sgdulzur5gjth8cx,2893.61929538
2024-06-27,mtc1q8narn902plerfdztczua5rhx2t673yuuclc5222,10029.43123589
2024-06-27,mtc1q8lt9xclcv5g2dctvr8e8z0vz5czkl4hs52wjx39,14220.86367861
2024-06-27,mtc1qx2mlw7mycukgeuup8elcwrvc8jsnc0a85warf4g,110628.34348136
2024-06-27,mtc1qya6s8smsj35lcs96vv9uf4hypts27flpyezf2wr,123.78479628
2024-06-27,mtc1qx92dklxv509typnzw6e44387nh7dp9m5c6f8lhn,170.25025080
2024-06-27,mtc1qxvctg7q75jsrp6uvq2v084eh5htatd73gaspq2k,986.06998347
2024-06-27,mtc1qyf5tx0zjjn7wvn26mgcfqs4uln4sdf6s5x4yt80,2886.16937794
2024-06-27,mtc1qxag0c9lzyn5vz6nu6e42xsme4qqc9ps2y9wnwxv,4279.43719145
2024-06-27,mtc1q9pfjh9vnnhpx9h7qc3y7lu97zcpyl6pmgpnjk6z,18610.12257554
2024-06-27,mtc1q9mp68cyk6jgcdznrf09n3cqkk5ppd5w85lzmkqh,5190.45650941
2024-06-27,mtc1q8ly44mhaep8jule8n4a22gk4l9phffrfcxrv6kh,290519.48277472
2024-06-27,mtc1qyhe979mfhz5jsuqdxm94jur6mydge7a3g0yumqd,1079.40140965
2024-06-27,mtc1qycjen80nhpm32h6ykf2s38pntlr6d6hacf86tnr,1335.25543175
2024-06-27,mtc1qxzx7xmpja48d967l3g700rpfhk5wp8j0cnwwv9g,1348.02880278
2024-06-27,mtc1qy3yha0vueagp3na4xn3sygz7kxj0h5j05280puj,23220.89558057
2024-06-27,mtc1qxey9l2utys0dh6hepz4cqvfx8gpeqrgzsuskm8p,25578.59744120
2024-06-27,mtc1qx5pwf9nzmn4u5prhvcx4lt995yvt2j09udmg0kn,85296.92597289
2024-06-27,mtc1qx0qew9kdtwd28f8z7twkcjgpup9s82rtgd2v9ts,17851.67350108
2024-06-27,mtc1q88yg8t6rp88957lcwrx4gljlk7hs8273sq5d9zg,20451.11023066
2024-06-27,mtc1qxmmqfar2f896wtp7hm6aje9eluefamqrc7uef95,118.93948765
2024-06-27,mtc1q8wx373ztc7ymrypfnn3qn9dq5vmqum3lqr5mx75,386.37084405
2024-06-27,mtc1qxh82tzhq88wlkcwm5z75gtpy8nudgu8p5rnaqgx,1819.62312573
2024-06-27,mtc1qy6gm8mm8kud26qnazfze3z9ee69v5gdsq2z047c,6012.84456052
2024-06-27,mtc1q8hg2h0whsuxews3aylzt7vwp65yws2h4cd02zzz,6526.58286936
