DAY,address,amount
2024-06-18,mtc1qymj5lnkwq4ydwz6lnuu2pfay25dtz76yqsuya5z,2122.73463910
2024-06-18,mtc1qyhrm6euv9278f00ux0awlm5kr8ndzhx3ucfwtg0,4129.08567679
2024-06-18,mtc1q8ayy39v265taqa4sdypq84e44g7cfp7vuxfyym8,16891.51202819
2024-06-18,mtc1qx3g98jukhwme3v66yr0ksck3zhvkngymgqjfayu,133.09504331
2024-06-18,mtc1q8v4jmal4943u5a5uk6tahapd8pvvc4jxq9ujd6v,638.01289344
2024-06-18,mtc1q9p0p67gjqw22hmwf68r3rjryrxz4rhj353z747m,1353.56051198
2024-06-18,mtc1q8pcap5nv05lw259a3gwxkgxuh55wy9j6vr0vpwa,4264.16992620
2024-06-18,mtc1qyp0fwwj7ruj9ngel8zgqymw3vf4ufys9ulwk6u6,501.39793804
2024-06-18,mtc1qyl33wj9tc2uspejtkysh7uq9fp3we033gp97um9,4593.03660706
2024-06-18,mtc1qyzpgs5t2zfsg2z4gl9vhxfcqxc9ds6zdgxycu2v,19568.74807974
2024-06-18,mtc1qxkff73qd0fry7l825ytjjnlrxk7ganvrqdzra64,32455.21894092
2024-06-18,mtc1qx2selxxg7at62802hvl5kjz4mnmaleujce869tz,208.66620424
2024-06-18,mtc1qx3fpz57yjamg60qgsm8lkhufcgseu7seclkv748,4073.35648846
2024-06-18,mtc1qyxcm8qujsypej5m05ekp0u0nrl3vr5r35tkzzvn,4997.14164781
2024-06-18,mtc1qy3glmphmz46aqjn92txxz873amrg0p6jqdgnn2z,6464.79920495
2024-06-18,mtc1qx49ryzzmlxma74qyxaf9zjx0x0fcmfl2gcj09aw,6907.29052758
2024-06-18,mtc1qyz6sgcnhc6gfqn3zj3cq4fnp2zuuv340vth9k3p,7160.72687912
2024-06-18,mtc1qxes53f2udvvemqkawzej90kf794c4tj7qffwlps,4176.39003489
2024-06-18,mtc1q8w736e8hfrehmjslstr4gp6cuteh6xq9g956f3h,6818.53145077
2024-06-18,mtc1q8qc3a3gjqal4u5yrkketl4542sg7xyv5v5sqmef,7326.41041110
2024-06-18,mtc1qyle2vygnr79pufd3a3fajd3x4tjz38phspt9nh4,8629.10150264
2024-06-18,mtc1q825g58xrpdy4alp22kaay4y7k99wetw6qzfn27y,150.33220979
2024-06-18,mtc1q9yhsdp73gh4eul05s5pjen77s2ezg85esd2r8yx,871.57819570
2024-06-18,mtc1qyjx6azv7f7s9nslf3kwscm2eclx70hdnshtz35e,82807.74804329
2024-06-18,mtc1qyq0tuhznjqtvp7nx9tsq295gsf63esv8ukyfnz8,3566.92486494
2024-06-18,mtc1qyuqh6x3up6e9l7dks9dy55mvkn64tmak56zruy4,5663.19833545
2024-06-18,mtc1q9wjjel3qtrwy9c57ee2e5wsnyk4jz49py2fzejx,10000.00000000
2024-06-18,mtc1qxt63f4fdh0syph8edqd4lr57dw0zv688gknheek,17493.26317264
2024-06-18,mtc1q8fju5l74k40ccg9zwltd6t7zvp3pz78mvvdxrp8,193.26680180
2024-06-18,mtc1qx858yql30f9xdgudj6myv66trt4syldjuvjjdpe,6099.17603405
2024-06-18,mtc1q94cludk3qa5x7fmdqqfz93kl2733j2h35qhfc0d,297.03484337
2024-06-18,mtc1qyr7jsw7lvkrpq78eklwz8fgjmr500dd0yyshf5j,3652.75889918
2024-06-18,mtc1qxf8skvt9sptupjlf4qc4t4evse4e7fmaqpsdda6,4261.80787172
2024-06-18,mtc1q8wyt420drjhzuz9uys85hnvd47kg8ppjyvd7zs7,10540.06337976
2024-06-18,mtc1q9wf9x6gm08njp66yljjwrm4tvppzgkz4snhtyh0,263503.87040824
2024-06-18,mtc1qyls0qt2yh9gqk3tnzda37md8fc67p432qvutv0z,4853.04507141
2024-06-18,mtc1qxw3lynzm6xpmqntw0vmzeh0zjggqus84ytpnnwp,6378.21180768
2024-06-18,mtc1qxezsuvvrslz7m9ah8c3n72yssftsyd0sy29vxle,53279.29862773
2024-06-18,mtc1qyr8ew8aaedwna4qa0aufz3jv48908t63ycwksap,643.32179567
2024-06-18,mtc1qxw0j8v56gfckn0t9m6yx5va735403suyqanssd7,1105.50128743
2024-06-18,mtc1qyr8yey449ez047w44extj4tw3s84smtcqp33jcm,2342.14324638
2024-06-18,mtc1q88y6szuat0gh47yd5sj3auwlc7ljv0kgc4lcfj4,4189.47593818
2024-06-18,mtc1q905gyj0hwfxlkqvcnlug6kmg0qd99devgrehc4n,4793.32952839
2024-06-18,mtc1q98578flu59rt7qypapqfhaxx2464ccpysswh4hg,22518.95416576
2024-06-18,mtc1q82wvgyztummwev00eqwnjfac2p8svt6hyzu6yza,419.11047121
2024-06-18,mtc1qxgr8ejrmd7xrc0gqltmx8plrxzlc7cmmv6l5ulv,500.49361567
2024-06-18,mtc1q85yna8uk03ewp7rkphdvf0wxku83vt9tqwww65y,6773.94962116
2024-06-18,mtc1qx9dvfufltk9qar3nr6a622me94wqmzjdc845u74,533.71557275
2024-06-18,mtc1qxqgqnrxhvnnf5h5r7r3fam3ecgw9vs8qgm2a4h9,2149.31252390
2024-06-18,mtc1qx5rjpxcgudhr8md0u4mduju7nw94hgw5ugqcxqe,16253.81828834
2024-06-18,mtc1q9n53way2c3ermr8nj47mrqw2qmpgzdjeg3xp09t,47337.03684835
2024-06-18,mtc1qytg6fvr3xmrnyqlwg09tk42uj0uf3pypvq5ndcf,1473.24598050
2024-06-18,mtc1q8gthp4c6j2qlqn8l6jhwk0yymvmaqcv85r7ffrq,4299.03062500
2024-06-18,mtc1qxtjlpyvhrwvhjsfame4c00g2elykdfdwyg8wj40,5390.04917468
2024-06-18,mtc1q88d2jm27d4w9x7u2ppsyxuhqt4z9ry3svv3k396,1652.94492515
2024-06-18,mtc1q9r6sty6ngzx3zx7zkumtvwujcmkvuxgqs5zjgyv,2322.43029446
